CUST_NO,VTG,AGETIER,EDUCATION_DESC,GENDER,EOP_BAL_CS,MTH_AVG_BAL_CS,MTH6_AVG_BAL_CS,DELTA_FUNDING_BALANCE,MTH_AVG_BAL_IDR,MTH6_AVG_BAL_IDR,DELTA_FUNDING_BALANCE_TD,AVG_CREDIT_3MTH,SUM_CREDIT_LESS_3MIL,SUM_CREDIT_ZERO,DELTA_CREDIT_MUTATION,DELTA_DEBIT_MUTATION,AVG_DEBIT_3MTH,CUST_SEGMENT_AVG,DELTA_CUST_SEG,L_COLL,BAD_TAG
4221888.4,6-10 th,31-40 th,UNIVERSITAS,L,557548.37,1619438.5,3767947.313,1621696.497,1619438.5,3767947.313,1621696.497,75411535.26,0,0,-25682197.26,-29292809.67,75575760.11,5,0,0,0
4371988.8,6-10 th,21-30 th,UNIVERSITAS,P,255428.99,522228.4,1094530.57,891369.2933,522228.4,1094530.57,891369.2933,14898315.78,0,0,-6266286.657,-6480526,16439828,5,0,0,0
4306370,6-10 th,21-30 th,SMA,L,12075.07,26268.61,154452.125,219768.1867,26268.61,154452.125,219768.1867,0,6,3,480000,549706.6667,95333.33333,5,0,0,0
4395148.2,6-10 th,31-40 th,UNIVERSITAS,P,625910.06,9303326.98,4077985.142,-2661830.15,9303326.98,4077985.142,-2661830.15,32434494.71,0,0,-11390319.05,-20390890.73,39311440.73,4,-1,0,0
4386057.6,6-10 th,31-40 th,SMA,P,7064487.77,11752124.06,2760440.608,673701.6867,11752124.06,2760440.608,673701.6867,22002328.96,2,0,-21502328.96,-8553632.46,19677132.46,4,0,0,0
4426322.6,6-10 th,31-40 th,UNIVERSITAS,L,5392686.09,3459024.66,2153977.99,-3161929.213,3459024.66,2153977.99,-3161929.213,111911281.7,0,0,-64954281.75,-64020114.77,110150814.8,5,1,0,0
4542022.8,6-10 th,31-40 th,AKADEMI,L,1707353.35,2998534.25,8629176.118,-3211854.42,2998534.25,8629176.118,-3211854.42,8693302.077,0,0,2758930.663,-2511023.583,13029005.93,5,0,0,0
4670622.8,6-10 th,21-30 th,SMA,P,754466.3,432843.71,314799.1417,287634.62,432843.71,314799.1417,287634.62,3967333.333,0,0,-122233.3333,392085.3333,3949114.667,5,0,0,0
4589961.8,6-10 th,31-40 th,UNIVERSITAS,L,1253584.79,963160.98,1328228.44,-369788.7533,963160.98,1328228.44,-369788.7533,13989683,0,0,-3511393.47,-1364125.963,13886383.33,5,0,0,0
4597178.8,6-10 th,21-30 th,UNIVERSITAS,L,1623689.53,794346.94,794421.8867,310865.3767,794346.94,794421.8867,310865.3767,24015333.33,0,0,24078471.64,28992088.67,23492603.33,5,0,0,0
4630112.2,6-10 th,21-30 th,UNIVERSITAS,L,10732412.78,10332389.03,10731210.37,1947894.63,10332389.03,10731210.37,1947894.63,26570442.7,0,0,119074993.6,119324629.2,24202026.76,4,0,0,0
4634094.4,6-10 th,21-30 th,UNIVERSITAS,L,28902826.15,24581188.58,14453205.43,-19518126.09,24581188.58,14453205.43,-19518126.09,15764984.99,0,0,-1770973.32,3189001.933,14410697.07,4,0,0,0
4657250.8,6-10 th,21-30 th,SMA,P,5564867.52,4343280.01,3111288.317,67103.29667,4343280.01,3111288.317,67103.29667,7799668.613,0,0,-1058576.903,109905.0633,7268482.667,5,1,0,0
4685052,6-10 th,31-40 th,UNIVERSITAS,L,558138.61,3201835.3,6215328.505,-5799261.597,3201835.3,6215328.505,-5799261.597,95848452.28,0,0,-72828636.3,-77971102.42,95686531.42,5,0,0,0
4703637.4,6-10 th,21-30 th,UNIVERSITAS,L,38683.13,51586.35,61264.2,-2833.12,51586.35,61264.2,-2833.12,1350000,6,2,-650000,-663666.6667,1342666.667,5,0,0,0
